# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: C:\Users\Miguel\Desktop\ECE178\Seven_Segment\output_files\Seven_Segment.csv
# Generated on: Sat Jun  1 20:26:31 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AB12,,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_V8,,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_D28,,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AE7,,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_AF3,,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_AC8,,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_AE27,,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_AF25,,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_AB16,,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_Y14,,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_F19,,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_J23,,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_Y26,,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AA26,,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_L21,,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_AG8,,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_J19,,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_J7,,,,,,
SW[17],Input,PIN_Y23,5,B5_N2,PIN_Y23,2.5 V,,,,,
SW[16],Input,PIN_Y24,5,B5_N2,PIN_Y24,2.5 V,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
HEX0[6],Unknown,PIN_H22,6,B6_N0,,,,,,,
HEX0[5],Unknown,PIN_J22,6,B6_N0,,,,,,,
HEX0[4],Unknown,PIN_L25,6,B6_N1,,,,,,,
HEX0[3],Unknown,PIN_L26,6,B6_N1,,,,,,,
HEX0[2],Unknown,PIN_E17,7,B7_N2,,,,,,,
HEX0[1],Unknown,PIN_F22,7,B7_N0,,,,,,,
HEX0[0],Unknown,PIN_G18,7,B7_N2,,,,,,,
